name,type,start_time,duration,"data","error"
"Async Serial","data",3.286887552,0.000989582,"4",
"Async Serial","data",3.287955376,0.000989582,"4",
"Async Serial","data",3.289023244,0.000989582,",",
"Async Serial","data",3.290091068,0.000989582,"1",
"Async Serial","data",3.291158892,0.000989582,"3",
"Async Serial","data",3.292226718,0.000989582,"2",
"Async Serial","data",3.293294584,0.000989582,"5",
"Async Serial","data",3.29436241,0.000989582,",",
"Async Serial","data",3.295430234,0.000989582," ",
"Async Serial","data",3.296498058,0.000989582,",",
"Async Serial","data",3.297565926,0.000989582," ",
"Async Serial","data",3.29863375,0.000989582,"*",
"Async Serial","data",3.299701574,0.000989582,"",
"Async Serial","data",3.3007694,0.000989582,"
",
"Async Serial","data",3.36553215,0.000989582,"$",
"Async Serial","data",3.366599974,0.000989582,"D",
"Async Serial","data",3.367667798,0.000989582,"F",
"Async Serial","data",3.368735624,0.000989582,"D",
"Async Serial","data",3.36980349,0.000989582,"M",
"Async Serial","data",3.370871316,0.000989582,"D",
"Async Serial","data",3.37193914,0.000989582,",",
"Async Serial","data",3.373006964,0.000989582,"1",
"Async Serial","data",3.374074832,0.000989582,",",
"Async Serial","data",3.375142656,0.000989582,"1",
"Async Serial","data",3.376210482,0.000989582,",",
"Async Serial","data",3.377278306,0.000989582,"1",
"Async Serial","data",3.378346172,0.000989582,".",
"Async Serial","data",3.379413998,0.000989582,"5",
"Async Serial","data",3.380481822,0.000989582,"7",
"Async Serial","data",3.381549646,0.000989582,"1",
"Async Serial","data",3.382617514,0.000989582,",",
"Async Serial","data",3.383685338,0.000989582,"0",
"Async Serial","data",3.384753164,0.000989582,".",
"Async Serial","data",3.385820988,0.000989582,"2",
"Async Serial","data",3.386888854,0.000989582,"1",
"Async Serial","data",3.38795668,0.000989582,"8",
"Async Serial","data",3.389024504,0.000989582,",",
"Async Serial","data",3.390092328,0.000989582,"1",
"Async Serial","data",3.391160196,0.000989582,"3",
"Async Serial","data",3.39222802,0.000989582,"6",
"Async Serial","data",3.393295846,0.000989582,"0",
